Time (sec);Theta2;Theta3;Theta4
0;-33.5651356;-90;-0.771312636
0.039854015;-32.84776333;-89.68914631;-0.052286185
0.079708029;-32.13039107;-89.37827882;0.670048441
0.119562044;-31.41301881;-89.0673537;1.395691604
0.159416058;-30.69564655;-88.75632672;2.124644557
0.199270073;-29.97827428;-88.44515325;2.856909474
0.239124088;-29.26090202;-88.13378824;3.592489463
0.278978102;-28.54352976;-87.82218619;4.331388589
0.318832117;-27.82615749;-87.51030116;5.0736119
0.358686131;-27.10878523;-87.19808673;5.819165442
0.398540146;-26.39141297;-86.88549601;6.568056286
0.438394161;-25.67404071;-86.57248156;7.320292549
0.478248175;-24.95666844;-86.25899545;8.075883417
0.51810219;-24.23929618;-85.94498918;8.834839171
0.557956204;-23.52192392;-85.63041369;9.597171209
0.597810219;-22.80455165;-85.3152193;10.36289207
0.637664234;-22.08717939;-84.99935574;11.13201547
0.677518248;-21.36980713;-84.68277208;11.90455631
0.717372263;-20.65243487;-84.3654167;12.68053073
0.757226277;-19.9350626;-84.04723732;13.45995609
0.797080292;-19.21769034;-83.7281809;14.24285107
0.836934307;-18.50031808;-83.40819365;15.02923564
0.876788321;-17.78294582;-83.08722099;15.81913112
0.916642336;-17.06557355;-82.76520754;16.61256019
0.95649635;-16.34820129;-82.44209704;17.40954696
0.996350365;-15.63082903;-82.11783235;18.21011697
1.03620438;-14.91345676;-81.7923554;19.01429725
1.076058394;-14.1960845;-81.46560717;19.82211634
1.115912409;-13.47871224;-81.13752761;20.63360435
1.155766423;-12.76133998;-80.80805567;21.44879296
1.195620438;-12.04396771;-80.47712917;22.26771552
1.235474453;-11.32659545;-80.14468482;23.09040705
1.275328467;-10.60922319;-79.81065816;23.91690431
1.315182482;-9.891850925;-79.4749835;24.74724583
1.355036496;-9.174478662;-79.13759386;25.58147198
1.394890511;-8.457106399;-78.79842095;26.41962499
1.434744526;-7.739734137;-78.45739511;27.26174905
